pagina_pdf,archivo,etiqueta_ocr
18,p18_h15_cordones_pintados_a.png,H15 Cordones pintados A.
18,p18_h16_tachas.png,H16 Tachas
18,p18_h17_delineadores_conos.png,H17 Delineadores (Conos)
18,p18_h18_para_niebla_e_a_aaa.png,H18 Para niebla E a aaa
19,p19_semaforo_con_visera.png,Semáforo con visera
19,p19_semaforo_sin_visera.png,Semáforo sin visera
19,p19_semaforo_de_gran_seccion_roja_con_visera.png,Semáforo de gran sección roja con visera
19,p19_semaforo_de_gran_seccion_roja_sin_visera.png,Semáforo de gran sección roja sin visera
19,p19_flecha_vertical_para_seguir_al_frente.png,"Flecha vertical para seguir al frente —=>—,"
19,p19_flecha_horiz_seguir_a_la_izqui.png,Flecha horiz seguir a la izqui _
19,p19_ontal_para_rda_o_derecha.png,ontal para rda o derecha
19,p19_semaforos_especiales_para_peatones.png,Semáforos especiales Para peatones
19,p19_semaforos_especiales_intermitentes.png,Semáforos especiales Intermitentes
19,p19_semaforos_especiales_para_cruce_ferrovial.png,Semáforos especiales Para cruce ferrovial
19,p19_semaforos_especiales_para_carriles_reversibles.png,Semáforos especiales Para carriles reversibles
20,p20_calle_o_carretera_en_construccion_o_cerrada_t1.png,Calle o Carretera en Construcción o Cerrada T1
20,p20_desvio_t2.png,Desvío T2
20,p20_carretera_de_un_solo_carril_713_y.png,Carretera de un solo Carril 713 y
20,p20_estrechamiento_de_calzada_t4_y.png,Estrechamiento de Calzada T4 y
20,p20_banderillero.png,Banderillero
20,p20_hombres_trabajando_t6.png,Hombres Trabajando T6
20,p20_equipo_pesado_en_la_via_t7.png,Equipo Pesado en la Vía T7
20,p20_trabajos_en_la_banquina_t8.png,Trabajos en la Banquina T8
21,p21_zona_de_explosivos_t9.png,Zona de Explosivos T9
21,p21_longitud_de_la_construccion_t10.png,Longitud de la Construcción T10
21,p21_fin_de_construccion_t11.png,Fin de Construcción T11
22,p22_pagina_22_item_1.png,pagina_22_item_1
22,p22_tamharac.png,Tamharac
22,p22_pagina_22_item_3.png,pagina_22_item_3
22,p22_conos.png,Conos
22,p22_tambores.png,Tambores
22,p22_delineadores.png,Delineadores
22,p22_ma.png,MÁ
22,p22_a.png,A.
22,p22_muro_jer.png,Muro Jer
22,p22_y.png,y
